Region,Condition,calcium_channel_open_prob,total_Ca
VM,Baseline,0.318863437,3.73E-07
VM,Baseline,0.42492734,6.79E-07
VM,Baseline,0.545861016,8.81E-07
VM,Baseline,0.607667656,1.18E-06
VM,Baseline,0.540509961,1.02E-06
VM,Baseline,0.592395962,4.95E-07
VM,Baseline,0.459042588,6.45E-07
VM,Baseline,0.598070762,5.39E-07
VM,Baseline,0.387566209,5.83E-07
VM,Baseline,0.525144043,8.25E-07
VM,Baseline,0.680326771,3.77E-07
VM,Baseline,0.580784237,1.00E-06
VM,Baseline,0.641574061,9.80E-07
VM,Baseline,0.629557884,8.22E-07
VM,Baseline,0.27121429,5.62E-07
VM,Baseline,0.413262879,5.64E-07
VM,Baseline,0.285634924,2.95E-07
VM,Quinpirole,0.211274403,2.64E-07
VM,Quinpirole,0.321076498,5.25E-07
VM,Quinpirole,0.233472868,4.05E-07
VM,Quinpirole,0.401886078,7.95E-07
VM,Quinpirole,0.30524732,6.00E-07
VM,Quinpirole,0.579280136,4.85E-07
VM,Quinpirole,0.207480317,3.19E-07
VM,Quinpirole,0.561035581,5.09E-07
VM,Quinpirole,0.229087466,3.65E-07
VM,Quinpirole,0.444547975,7.06E-07
VM,Quinpirole,0.478076303,2.79E-07
VM,Quinpirole,0.53329131,9.24E-07
VM,Quinpirole,0.317687864,5.10E-07
VM,Quinpirole,0.5882783,7.71E-07
VM,Quinpirole,0.190711766,4.10E-07
VM,Quinpirole,0.416783551,5.69E-07
VM,Quinpirole,0.112354503,1.46E-07